Key,Source,Context,UsedInMainMenu,NoTranslate,english
badZombieUMA,entityclasses,Entity,,,Zombie
badZombieMaleUMA,entityclasses,Entity,,,Zombie
badZombieAiden,entityclasses,Entity,,,Zombie Aiden
badZombieBob,entityclasses,Entity,,,Zombie Bob
badZombieCaitlin,entityclasses,Entity,,,Zombie Caitlin
badZombieCallie,entityclasses,Entity,,,Zombie Callie
badZombieChang,entityclasses,Entity,,,Zombie Chang
badZombieCharlotte,entityclasses,Entity,,,Zombie Charlotte
badZombieClint,entityclasses,Entity,,,Zombie Clint
badZombieEmma,entityclasses,Entity,,,Zombie Emma
badZombieGabrielle,entityclasses,Entity,,,Zombie Gabrielle
badZombieGrace,entityclasses,Entity,,,Zombie Grace
badZombieHank,entityclasses,Entity,,,Zombie Hank
badZombieHelen,entityclasses,Entity,,,Zombie Helen
badZombieHugh,entityclasses,Entity,,,Zombie Hugh
badZombieJack,entityclasses,Entity,,,Zombie Jack
badZombieJeff,entityclasses,Entity,,,Zombie Jeff
badZombieJimmy,entityclasses,Entity,,,Zombie Jimmy
badZombieJoel,entityclasses,Entity,,,Zombie Joel
badZombieMaria,entityclasses,Entity,,,Zombie Maria
badZombieMercura,entityclasses,Entity,,,Zombie Mercura
badZombieMiguel,entityclasses,Entity,,,Zombie Miguel
badZombieOfficeGirl,entityclasses,Entity,,,Zombie Office Girl
badZombieRayah,entityclasses,Entity,,,Zombie Rayah
badZombieRekt,entityclasses,Entity,,,Zombie Rekt
badZombieVince,entityclasses,Entity,,,Zombie Vince
badZombieWillie,entityclasses,Entity,,,Zombie Willie
badZombieBaby,entityclasses,Entity,,,Zombie Baby
badZombieBabyCrawler,entityclasses,Entity,,,Zombie Baby Crawler
valZombieClarice,entityclasses,Entity,,,Zombie Clarice
valZombieJane,entityclasses,Entity,,,Zombie Jane
valZombieLibrarian,entityclasses,Entity,,,Zombie Librarian
valZombieSurvivorFemale,entityclasses,Entity,,,Zombie Sherlene
valZombieVoodooFemale,entityclasses,Entity,,,Zombie Voodoo Lady
valZombieVoodooMale,entityclasses,Entity,,,Zombie Voodoo Man
valZombieDan,entityclasses,Entity,,,Zombie Dan
valZombieSurvivorMale,entityclasses,Entity,,,Zombie Survivor
valZombieKenny,entityclasses,Entity,,,Zombie Kenny
valZombieRavager,entityclasses,Entity,,,Zombie Ravager
valZombieNerd,entityclasses,Entity,,,Zombie Nerd
valZombieInmate,entityclasses,Entity,,,Zombie Inmate
valZombieInmateBlack,entityclasses,Entity,,,Zombie Inmate
valZombieChildFemale,entityclasses,Entity,,,Zombie Little Girl
valZombieChildMale,entityclasses,Entity,,,Zombie Little Boy
valZombieRanger,entityclasses,Entity,,,Zombie Ranger
valZombieScorchedRusher,entityclasses,Entity,,,Zombie Scorched Rusher
gupZombieMartha,entityclasses,Entity,,,Zombie Martha
gupZombieSally,entityclasses,Entity,,,Zombie Sally
gupZombieSunStroked,entityclasses,Entity,,,Zombie Sun Stroked
gupZombieSunStrokedCrawler,entityclasses,Entity,,,Zombie Sun Stroked Crawler
sanZombiePunk,entityclasses,Entity,,,Zombie Punk
sanZombieRioter,entityclasses,Entity,,,Zombie Rioter
sanZombieRocker,entityclasses,Entity,,,Zombie Rocker
sanZombieFemaleRocker,entityclasses,Entity,,,Zombie Rocker
sanZombieHermit,entityclasses,Entity,,,Zombie Hermit
sanZombieFrank,entityclasses,Entity,,,Zombie Frank
sanZombieBikerChick,entityclasses,Entity,,,Zombie Biker Babe
sanZombieInfectedSurvivor,entityclasses,Entity,,,Infected Survivor
sanZombieInfectedLady,entityclasses,Entity,,,Infected Lady
sanZombieNude,entityclasses,Entity,,,Nude Zombie
sanZombiePrisoner,entityclasses,Entity,,,Zombie Prisoner
sanZombieDriver,entityclasses,Entity,,,Zombie Driver
sanZombieFiend,entityclasses,Entity,,,Zombie Feind
sanZombieBanditSharpshooter,entityclasses,Entity,,,Zombie Sharpshooter
sanZombieHunterSven,entityclasses,Entity,,,Zombie Sven
sanZombiePsycho,entityclasses,Entity,,,Zombie Psycho
sanZombieKim,entityclasses,Entity,,,Zombie Kim
sanZombieVagrant,entityclasses,Entity,,,Zombie Vagrant
sanZombieCripple,entityclasses,Entity,,,Zombie Cripple
sanZombieBanditSavage,entityclasses,Entity,,,Zombie Savage
sanZombieBanditSentry,entityclasses,Entity,,,Zombie Sentry
sanZombieMitchHazmat,entityclasses,Entity,,,Zombie Mitch
sanZombieMarkHazmat,entityclasses,Entity,,,Zombie Mark
sanZombieClaireHazmat,entityclasses,Entity,,,Zombie Claire
sanZombieSueHazmat,entityclasses,Entity,,,Zombie Sue
sanZombieOldLady,entityclasses,Entity,,,Zombie Old Lady
sanZombieOldMan,entityclasses,Entity,,,Zombie Old Man
sanZombieEvilGranny,entityclasses,Entity,,,Zombie Granny
sanZombieSecurityGuard,entityclasses,Entity,,,Zombie Security Guard
sanZombieFrozen,entityclasses,Entity,,,Frozen Zombie
badZombieJethro,entityclasses,Entity,,,Zombie Jethro
badZombieSeryph,entityclasses,Entity,,,Zombie Seryph
badZombieSeryphSnow,entityclasses,Entity,,,Zombie Seryph
valZombieBigBitch,entityclasses,Entity,,,Zombie Bitch
valZombieLumberjack,entityclasses,Entity,,,Zombie Lumberjack
valZombieTrucker,entityclasses,Entity,,,Zombie Trucker
valZombieCharred,entityclasses,Entity,,,Zombie Charred
sanZombieCpl,entityclasses,Entity,,,Zombie Corporal
sanZombieHunter,entityclasses,Entity,,,Zombie Hunter
sanZombieBanditKiller,entityclasses,Entity,,,Zombie Bandit
sanZombieBloodmoon,entityclasses,Entity,,,Zombie Moon
